상호명,상권업종소분류명,시도명,시군구명,경도,위도
빅토리짐,헬스장,강원특별자치도,철원군,127.308205355055,38.147922800168
청년헬스장애막골점,헬스장,강원특별자치도,춘천시,127.754314766539,37.8673078101986
파워앤영양,헬스장,강원특별자치도,강릉시,128.931871850934,37.7751317323141
바디에딕트,헬스장,강원특별자치도,강릉시,128.869991713555,37.7578341883275
강원헬스&운동재활,헬스장,강원특별자치도,홍천군,127.881381962443,37.6894901783541
에임트레이닝랩원주점,헬스장,강원특별자치도,원주시,127.929708172543,37.333513863237
반트휘트니스클럽,헬스장,강원특별자치도,강릉시,128.874956019427,37.7639080560553
칼로리코인,헬스장,강원특별자치도,원주시,127.904327956058,37.2748298521872
로드짐,헬스장,강원특별자치도,원주시,127.964092881289,37.3373381917115
강릉헬스,헬스장,강원특별자치도,강릉시,128.916865815051,37.7587744363655
팀관동,헬스장,강원특별자치도,강릉시,128.884272583551,37.7446885411785
비타민헬스클럽,헬스장,강원특별자치도,원주시,127.950205454616,37.3805721573155
크로스핏펀앤팸,헬스장,강원특별자치도,춘천시,127.728754842415,37.8833702168734
머슬핏P.T,헬스장,강원특별자치도,춘천시,127.728303974902,37.9022204187248
봄날의헬스클럽,헬스장,강원특별자치도,춘천시,127.717761410735,37.8726806473897
머슬핏,헬스장,강원특별자치도,춘천시,127.728727260205,37.8598020306498
기찬헬스지압활법원,헬스장,강원특별자치도,원주시,127.971257006565,37.3197101351246
제이짐,헬스장,강원특별자치도,영월군,128.458058566122,37.1785135042326
365요가헬스,헬스장,강원특별자치도,춘천시,127.757716607005,37.8687905193721
업소명없음,헬스장,강원특별자치도,삼척시,129.043986788072,37.2302576007233
뮤직스피닝,헬스장,강원특별자치도,원주시,127.964092881289,37.3373381917115
오아시스스포츠,헬스장,강원특별자치도,강릉시,128.877306736562,37.7639787213516
브아이피휘트니스,헬스장,강원특별자치도,원주시,127.949787694917,37.3295161095836
밤새헬스장,헬스장,강원특별자치도,춘천시,127.737589237549,37.8596477471768
근회기법,헬스장,강원특별자치도,강릉시,128.918329717486,37.7802986428303
청년헬스,헬스장,강원특별자치도,춘천시,127.739736309087,37.8834548808718
리본바디핏,헬스장,강원특별자치도,원주시,127.876799949572,37.3743096537319
디디스피닝댄스,헬스장,강원특별자치도,홍천군,127.883552972532,37.689960444169
원포인트,헬스장,강원특별자치도,원주시,127.93274202671,37.3552941358906
피트니스원,헬스장,강원특별자치도,강릉시,128.886591003118,37.7653978732835
휘트니스플러스,헬스장,강원특별자치도,춘천시,127.745544374917,37.8743819212478
바디라인휘트니스센터,헬스장,강원특별자치도,원주시,127.929727005669,37.3341263951247
비플로우,헬스장,강원특별자치도,원주시,127.926609797466,37.3320515208494
파리휘트니스,헬스장,강원특별자치도,춘천시,127.736930218128,37.8767695659875
오르소인동림빌딩,헬스장,강원특별자치도,강릉시,128.881679700387,37.7471262266452
바디디자인,헬스장,강원특별자치도,춘천시,127.715543208846,37.8689552828677
89머슬팩토리,헬스장,강원특별자치도,철원군,127.437378479961,38.2411066408808
속초클라이밍짐,헬스장,강원특별자치도,속초시,128.583172937752,38.2014080185985
리헬스클럽,헬스장,강원특별자치도,철원군,127.308271259867,38.144607300885
이에스스포렉스,헬스장,강원특별자치도,정선군,128.671104416919,37.3855279038747
팀샤크스윔앤피트니스,헬스장,강원특별자치도,춘천시,127.753112304244,37.8675227220367
바디애,헬스장,강원특별자치도,춘천시,127.75019375344,37.8800642769964
조이헬스,헬스장,강원특별자치도,양양군,128.62424878452,38.0775603894152
새로워GYM,헬스장,강원특별자치도,강릉시,128.892197904207,37.7707850631118
바디팩토리,헬스장,강원특별자치도,원주시,127.921648460599,37.3341715860109
스마일헬스클럽,헬스장,강원특별자치도,강릉시,128.912541434728,37.7516740288445
